content,sentiment
"Sometimes I’m not angry, I’m hurt and there’s a big difference.",angry
Not available for busy people☺,angry
I do not exist to impress the world. I exist to live my life in a way that will make me happy.,angry
"Everything is getting expensive except some people, they are getting cheaper.",angry
My phone screen is brighter than my future 🙁,angry
Anger is a feeling that makes your mouth work than faster your mind..,angry
"This man, is man, a man, good man, way man, to man, keep man, an man, idiot man, busy man, for man, 30 man, seconds man! NOW READ WITHOUT MAN",angry
Sometimes the best way to get someone\’s attention is to stop giving them yours.,angry
"People like to bring up your past, when your present and future look better than theirs.",angry
Wakeup>job>noluv>daaru>sleep>repeat..,angry
To all u Haters!!! Thanks for making me famous. I don’t give a Sh***t if u talk behind my back.,angry
Its hurts the worst when the person that made you feel so special yesterday makes you feel so unwanted today.,angry
Life is too short don’t waste it by reading my whatsapp status,angry
"If I treated you the way you treat me, you would hate my guts.",angry
Girls r like potato chips…you can’t have 1,angry
Had you asked for my life i would have sacrificed it with a smile… but you’ve stripped me of my pride,angry
People always miss you more when they find out how much happier you are without them.,angry
"People change for one of two reasons: They have learned a lot, or they have been hurt too many times.",angry
If you fail and feels the shame then you are only few steps away from success ☺,angry
You get betrayed by people you never thought of…,angry
Does your ass ever get jealous of all the shit that comes out of ur mouth?,angry
"When you give lots of importance to someone, you loss your own importance in their life….",angry
There are no solutions when you only focus on the negative,angry
Out of every negative is a positive.. its up to you to find out what it is and utilize it..,angry
If you always focus on the negative you will never see the positive!!!,angry
Negativity is a cancer of the soul that spreads like the flu..,angry
"If you realized how powerful your thoughts are, you would never think a negative thought.",angry
"When life give u lemons, squeeze it in people’s eyes ….",angry
"I’m take a nice long shit, so don’t stress me !",angry
"Don’t disturb me, I am disturbed enough already.",angry
Please don’t interrupt me while I’m ignoring you,angry
Stop letting the world change you. Be yourself and change the world.,angry
"Just when I think things are looking up, here comes the Fuck up Fairy again. Why can’t things go right for a change?",angry
"Looking at the past, yeah…Alot of it hurt but you know it only made me stronger.",angry
You talk behind my back only because you are afraid to say things to my face.,angry
why does no one ever want to talk in an elevator?,angry
What you heard is not what I said. Listen better next time.,angry
"Think again before you assume, And next time don’t be so quick to judge. You’ll never know what it’s like to be in my shoes.",angry
is wishing that SOME people would understand that: IT’S NOT ALL ABOUT YOU!!,angry
"Go ahead and ignore me,..I can play that game too, and I’m probably better at it than you are…",angry
"No time for disrespectful, immature, selfish individuals!",angry
Ever notice its those people saying they hate drama that start it? It doesn’t make sense to me.,angry
is wondering if certain people have to work to be annoying or if it just comes naturally,angry
The people that work hard don’t get the credit.The people that just do nothing get everything.,angry
There are a few people out there who are just like trees; they take forever to grow up.,angry
ugh. your so fake i bet if you look at the bottom of your foot it say made in china,angry
"Life is to short to let other people get to you, If they can’t handle who I am then I don’t need them in my life!",angry
"I don't care about what others think about me, I just care about what I think about myself.",angry
People are selfish now a days.,angry
"Don’t tell me to change, I can’t perfect myself anymore.",angry
You killed what was left of the good in me.,angry
I never dreamed about success. I worked for it.,angry
"If you don't like me remember it's mind over matter, I don't mind and you don't matter.",angry
Be yourself because an original is worth more than a copy.,angry
Yes i am selfish i don’t want to share you with people.,angry
I'm only selfish when it comes to you.,angry
"I done what i like, i don't care what you think?",angry
"I am who I am, your approval isn't needed.",angry
"I'd rather be hated for being real, than loved for being fake.",angry
"Be good to yourself, you’re all you’ve got.",angry
"I am simple, complex, generous, selfish, unattractive, beautiful, lazy, and driven.",angry
"Beauty captures your attention, but personality captures your heart.",angry
"You left without a reason, so please don't come back with an excuse.",angry
"I’m born to express, not to impress.",angry
If your ego speaks with me then my attitude replies to you.,angry
"Before you judge me, Make sure that you’re perfect.",angry
"I don’t treat people badly, I treat them accordingly.",angry
"My life ,my rule,that’s my attitude… ",angry
"If you dont want me , Dont fuck with my feelings.",angry
Never Love Someone At The Cost Of Your Dignity And Self Respect...!!!,angry
Beauty is only skin deep.Attitude is down to the bone.,angry
"You treated me like an option, so i left you like a choice",angry
"There are two ways to be happy: Change your situation, or change your mindset towards it.",angry
"Your attitude may hurt me, But mine can Kill You!!",angry
I'm a very private person. You don’t ask i don’t tell.,angry
I am not your toy.,angry
Sometimes I want to treat people how they treat me But I don’t because It’s out of my character.,angry
"If you ever think I am ignoring you, I swear I am. My phone is in my hand 24×7 ",angry
"Take care of Your Status, don’t be care taker of My Status",angry
If there is no one to hold your hand put your hands in your pocket and continue your walk.,angry
"Don’t be afraid of being outnumbered , eagles fly alone. Pigeons flock together.",angry
I am who i am and i won't change for anyone.,angry
"I don’t care for people, who don’t care for me.",angry
Nobody can teach me who I am.,angry
"Yes, I’m smiling. But you’re not the reason anymore.",angry
"Choose me or lose me. I am not a backup plan, and definitely not a second choice.",angry
I don’t go crazy. I am crazy. I just go normal from time to time….,angry
"Never, never, never, never give up.",angry
There’s a difference between somebody who wants you and somebody who would do anything to keep you. Remember that.,angry
"Before you judge me, Make sure that you’re perfect.",angry
I dont have enough middle fingers to show you how i feel.,angry
"Yes, i have changed. Pain does that to People.",angry
"Dear Girls, Stop comparing all guys with your ex. Not all of us are players and jerks.",angry
The bravest thing I ever did was continuing my life when I wanted to die.,angry
"Show me, don't tell me.",angry
"I don’t fear commitment, I fear wasting my time.",angry
"I live, I love, I fight, I cry, but I never give up",angry
How he treats you is how he feels about you.,angry
"Someone Asked me what is UR attitude then i simply replied... "" BEING SINGLE IS MY ATTITUDE…""",angry
My attitude depends on the people in front of me.,angry
Im not selfish but whats Mine is MINE . End of story,angry
"if you want me let me know, if you dont, please gently let me go.",angry
They laughed at me because I'm different. I laughed at them because they're all the same.,angry
"I don’t insult people , I just describe them.",angry
"Two fundamentals of cool life – Walk like you are the king OR walk like you don’t care ,who is the king.",angry
"I trusted you but now your words mean nothing to me, because your actions spoke the truth.",angry
"If you like me Then raise your hand, If not then raise your standard.",angry
"Beauty Fades After Time, But Personality Is Forever!",angry
"Dear broken hearted girls , Hold your head up high and you middle finger higher , let him know what he is missing",angry
"Be a girl with a mind, a bitch with an attitude, and a lady with class.",angry
"I have no need for people who come to me when they need me,then throw me aside when they're fine.",angry
This is how it goes. I will respect those who respect me & forget those who forget me. Simple as that.,angry
When Sum One Hates You for no reason. Give them a reason.,angry
Never give up on something you love,angry
"Excellence is not a skill, It is an attitude. ",angry
"If you want me, come and get me. If you want me to come, forget it.",angry
"Good girls are bad girls, who never get caught.",angry
"To keep a relationship, you must keep your business to yourself and your partner, The whole world doesnt need to know your problems.",angry
If your are still hate me!then No Problem!.,angry
"Problem is not a problem, but problem is that,is your attitude towards the problem.",angry
"Girls are like parking spaces, all the good ones are already taken.",angry
Seeing your ex go through what they put you through.. Priceless.,angry
"Stop asking for faithful girls, when you are too busy chasing hoes.",angry
The only difference between a good day and a bad day is your attitude.,angry
"I don't trust easily. So when I tell you that ""I trust you"", please don't make me regret it.",angry
"I'm Not a Tumblr Girl, But I'm Beautiful",angry
To all the girls that say gentlemen don't exist anymore: They do exist but gentlemen are attracted to ladies. Not sluts.,angry
"Don't even try and judge me dude,You have no idea what the Fuck I've been through.",angry
"If you want me let me know. If you don't, please gently let me go.",angry
"Putting in headphones, to avoid people's bullshit.",angry
i am scared to see you with someone else.,angry
Silence is the best way to react while angry.,angry
I hate the moment when suddenly my anger turns into tears.,angry
Silence is the best way to react while angry.,angry
Some things can never be forgotten and nor forgiven.,angry
There are no words to describe the anger and frustration that I am feeling right now.,angry
Don't make so many promises when you can't even keep one.,angry
"Sometimes i’m not angry, i’m hurt and there’s a big difference.",angry
"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleaneses the heart..",angry
"If I delete your number, you’re basically deleted from my life.",angry
Getting angry is actually punishing yourself with the mistakes of others.,angry
Some people never realise the emotional and mental damage they do to others.,angry
"Your mistake is letting me go, my mistake was letting you in.",angry
"Nobody makes you angry, you decide to use anger as a response.",angry
The same person who said the sweetest things to me also said some of the meanest things I've ever heard.,angry
"Never forget what someone says to you when they are angry, because that’s when the truth comes out",angry
"When we don’t know who to hate, we hate ourselves.",angry
Some people need to open their small minds instead of their big mouths.,angry
Anger is a feeling that makes your mouth work faster than your mind.,angry
