ID,Market,Survey date,Customer Name,Month,Quarter,NPS
1000,US,01/09/2021,Krista Richards,9,3,10
1001,MEX,07/11/2021,Monica King,11,4,9
1002,UK,25/12/2021,Ricky Armstrong,12,4,0
1003,UK,01/10/2021,Andrea Foley,10,4,10
1004,UK,01/03/2021,Jerry Garcia,3,1,8
1005,US,06/05/2021,Jimmy Rojas,5,2,10
1006,MEX,19/08/2021,Jonathan Johnson,8,3,10
1007,US,28/03/2021,Brandy Kelley,3,1,4
1008,US,07/04/2021,Jay Hernandez,4,2,8
1009,US,23/02/2021,Katelyn Smith,2,1,10
1010,US,25/02/2021,Carla Fox,2,1,0
1011,UK,03/04/2021,Vanessa Aguilar DVM,4,2,0
1012,UK,04/11/2021,Dr. Sara Gonzalez MD,11,4,8
1013,MEX,08/10/2021,Angela White,10,4,10
1014,MEX,21/11/2021,Michael Cummings,11,4,10
1015,US,29/01/2021,Megan Brooks,1,1,10
1016,US,29/12/2021,Richard Zuniga,12,4,10
1017,MEX,16/11/2021,Emily Hernandez,11,4,2
1018,MEX,02/01/2021,Rebecca Mccormick,1,1,5
1019,MEX,22/07/2021,Xavier Aguilar,7,3,10
1020,US,12/09/2021,Scott Williams,9,3,8
1021,MEX,13/12/2021,Thomas Boyle,12,4,1
1022,US,09/02/2021,Jane Cox,2,1,5
1023,UK,13/03/2021,Rebecca Kelley,3,1,10
1024,UK,11/03/2021,Philip Rojas,3,1,9
1025,UK,02/11/2021,Bethany Anderson,11,4,3
1026,US,07/10/2021,Bonnie Moore,10,4,10
1027,US,21/02/2021,Courtney Dunn,2,1,10
1028,UK,24/03/2021,Patricia Allison,3,1,10
1029,MEX,27/03/2021,Matthew Patterson,3,1,10
1030,US,25/04/2021,Karen Moran,4,2,9
1031,MEX,16/10/2021,Richard Lee,10,4,10
1032,US,13/06/2021,Joann Wheeler DDS,6,2,10
1033,MEX,11/05/2021,Linda Valencia,5,2,7
1034,UK,01/03/2021,Timothy Foster,3,1,10
1035,UK,30/03/2021,Kevin Cisneros,3,1,10
1036,US,25/09/2021,Steven Elliott,9,3,2
1037,UK,13/08/2021,Lisa Martinez,8,3,9
1038,US,01/07/2021,Timothy Thomas,7,3,10
1039,US,28/04/2021,Daniel Adams,4,2,10
1040,MEX,14/03/2021,Stephanie Walker,3,1,1
1041,UK,02/04/2021,Robert Richards,4,2,8
1042,UK,10/04/2021,Amy Reeves,4,2,2
1043,UK,24/03/2021,John Key,3,1,10
1044,US,11/02/2021,Samuel Ayala,2,1,10
1045,US,14/04/2021,Tanya Johnson,4,2,7
1046,US,04/06/2021,Rachel Simpson,6,2,10
1047,MEX,14/03/2021,Debbie Gould,3,1,4
1048,MEX,25/08/2021,David Mueller,8,3,6
1049,MEX,22/06/2021,William Hernandez,6,2,1
1050,UK,14/10/2021,Nicholas Cox,10,4,0
1051,MEX,05/07/2021,Tim Patterson,7,3,10
1052,US,14/09/2021,Ashley Gentry,9,3,0
1053,MEX,23/12/2021,Tammy Mason,12,4,5
1054,UK,02/12/2021,Desiree Flores,12,4,8
1055,MEX,26/02/2021,Daniel Kelly,2,1,0
1056,US,15/03/2021,Brian Wright,3,1,8
1057,US,24/02/2021,Louis Lopez,2,1,10
1058,MEX,27/10/2021,Jessica Adams,10,4,2
1059,MEX,13/02/2021,Robert Crawford,2,1,5
1060,US,06/08/2021,Christine Young,8,3,9
